"公園名","Id","公園番号","公園種別","読み仮名","公園所在地","公園面積_m2","主な施設","主な遊具","閉鎖管理施設","トイレ","その他情報","備考1","備考2","経度","緯度","分類"
"川島公園","167","173","街区公園","かわしま","弥生町３－６","1330.33","","健康遊具","","なし","","","","139.675329010349","35.6890465246206","街区公園"
"上高田三丁目公園","114","118","街区公園","かみたかださんちょうめ","上高田３－１０","381.35","","","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.675505740206","35.7135552515843","街区公園"
"哲学堂公園","27","28","総合公園","てつがくどう","松ヶ丘１－３４","52494.08","【国指定名勝】古建築物、運動施設、喫煙所、駐車場","ブランコ、砂場、複合遊具、鉄棒、健康遊具","77場エリア、運動施設（閉鎖時間の詳細は指定管理者へ）","（児童遊園）車いす用○、オストメイト×、男子大１、男子小３、女子３、共用×、ベビーシート×、ベビーチェア×","（桜の広場トイレ）車いす用○、オスト×、男大２、男小３、女３、共×、ベビシ×、ベビチ×　（つつじ園トイレ）車いす用○、オスト×、男大１、男小１、女２、共×、ベビシ×、ベビチ×、","花火不可、犬の同行入園可（一部園路）","指定管理者　03ｰ3951ｰ2515（9:00～17:00）","139.673988158037","35.7220462070211","総合公園"
"やまぶき公園","148","154","街区公園","やまぶき","中　野１－３１","102.44","","","","なし","","","","139.675722872471","35.7023117016588","街区公園"
"ひまわり公園","140","146","街区公園","ひまわり","中　央２－５２","287.66","","","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.675676662643","35.699701291065","街区公園"
"みずき公園","105","109","街区公園","みずき","中　央２－５４","725.29","","砂場","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.675801173398","35.7007434727332","街区公園"
"弥生こぶし公園","137","143","街区公園","やよいこぶし","弥生町１－４０","416.45","","健康遊具","","車いす用×、オストメイト×、男子大×、男子小１、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.676359593828","35.6879688101827","街区公園"
"花見公園","54","56","街区公園","はなみ","弥生町２－７","391.66","","ブランコ、砂場、複合遊具","","車いす用×、オストメイト×、男子大×、男子小１、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.676484365083","35.6923702229938","街区公園"
"そらまめ公園","152","158","街区公園","そらまめ","中　野６－６","137.41","","","","なし","","","","139.676628954959","35.7079587310413","街区公園"
"文園公園","29","30","街区公園","ふみぞの","中　野６－１０","1024.53","","ブランコ","","なし","","","","139.676573094621","35.706447495441","街区公園"
"本町通り公園","48","49","街区公園","ほんちょうどおり","中　央２－４６","538.59","","ブランコ、砂場、複合遊具","","車いす用×、オストメイト×、男子大×、男子小１、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.677242237593","35.6989169675602","街区公園"
"青桐公園","60","62","街区公園","あおぎり","本　町３－２９","184.25","","複合遊具","","なし","","","","139.677812044431","35.6970925651529","街区公園"
"さくら公園","68","71","街区公園","さくら","中　野６－２","564.16","芝生広場","砂場、複合遊具","","なし","","","","139.678027578587","35.7071090055955","街区公園"
"高根公園","65","68","街区公園","たかね","東中野２－３４","1465.82","","ブランコ、複合遊具、鉄棒","","なし","","","","139.678308143171","35.7057593864314","街区公園"
"本二東郷やすらぎ公園","116","120","街区公園","ほんにとうごうやすらぎ","本　町２－１２，１４","6954.34","芝生広場","複合遊具、ｼﾞｬﾝｸﾞﾙｼﾞﾑ、健康遊具","","（北側）車いす用○、オストメイト×、男子大×、男子小×、女子×、共用×、ベビーシート×、ベビーチェア○","（南側トイレ）車いす用○、オストメイト○、男子大１、男子小１、女子１、共用×、ベビーシート○、ベビーチェア○","犬の同行入園可（園路）","","139.678180392682","35.694005843371","街区公園"
"宮前公園","94","97","街区公園","みやまえ","中　央２－３９","1481.31","","複合遊具","","車いす用○、オストメイト×、男子大×、男子小１、女子×、共用×、ベビーシート×、ベビーチェア×","","","","139.678457685794","35.7008571619761","街区公園"
"上高田台公園","96","99","街区公園","かみたかだだい","上高田４－１７","2947.69","","砂場、複合遊具、健康遊具、ﾊﾞｽｹｯﾄｺﾞｰﾙ","","（高齢者会館外）車いす用×、オストメイト×、男子大×、男子小１、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.678366030938","35.7131570416424","街区公園"
"中野上高田公園","7","7","総合公園","なかのかみたかだ","上高田５－７","19400.67","運動施設、駐車場、喫煙所","複合遊具","運動施設（閉鎖時間の詳細は指定管理者へ）","なし","","花火不可","運動施設のみ指定管理者　03ｰ3951ｰ2515（9:00～17:00）","139.678464182055","35.7172208514379","総合公園"
"なかのはしポケットパーク","175","304","その他","なかのはしぽけっとぱーく","弥生町１－２６","251.95","","","","なし","","","","139.679074955519","35.6924048080466","その他"
